Nombre,Position,PAC,SHO,PAS,DRI,DEF,PHY
Mohamed Salah,CAM,99,99,96,99,54,88
Ousmane Dembélé,RW,99,96,94,99,49,79
Raphaël Varane,CB,96,61,80,83,99,98
Cristiano Ronaldo,LW,99,99,90,97,50,92
Lionel Messi,CF,95,98,99,99,42,78
Robert Lewandowski,ST,97,99,90,98,52,98
Pelé,CAM,96,97,96,97,62,79
Neymar Jr,CAM,99,95,94,99,44,73
Wissam Ben Yedder,ST,99,99,93,99,55,85
Abedi Pelé,LW,98,93,96,99,64,75
David Ginola,ST,98,96,95,97,63,92
N'Golo Kanté,CAM,92,93,92,96,92,91
Franck Ribéry,LW,96,95,97,99,46,81
Alexis Sánchez,CF,97,98,96,98,54,93
Kalidou Koulibaly,CB,95,43,80,85,98,97
Paulo Dybala,CF,97,98,98,99,51,83
Sadio Mané,ST,99,96,95,99,56,92
Erling Haaland,ST,99,99,91,95,54,98
Diego Maradona,CAM,93,94,95,98,42,78
Julián Álvarez,ST,99,99,97,98,69,87
Ivan Perišić,LM,99,97,95,98,87,92
Jules Koundé,CB,96,60,83,90,99,95
Christian Eriksen,CM,96,97,99,98,90,92
Gareth Bale,RM,99,98,97,97,70,96
Pelé,CAM,95,96,93,96,60,76
Mohamed Salah,CAM,99,99,96,99,54,88
Lionel Messi,RW,93,97,98,99,40,76
Robert Lewandowski,ST,93,98,87,95,50,95
Allan Saint-Maximin,LM,99,95,91,99,35,87
Iván Córdoba,RB,96,75,84,90,96,94
Diego Milito,RW,97,97,89,95,51,88
Antonio Di Natale,RW,97,98,94,98,55,80
Diego Milito,CAM,94,95,94,97,60,88
Ole Gunnar Solskjær,CAM,90,94,97,98,60,82
Ole Gunnar Solskjær,LW,99,98,90,94,55,85
Marcus Rashford,CAM,99,97,93,96,55,91
Marcelo,ST,96,94,95,98,90,88
Heung Min Son,ST,97,97,93,96,52,82
Richarlison,ST,99,96,91,98,70,93
Raheem Sterling,CF,99,96,92,98,54,80
Antonio Rüdiger,CB,92,54,85,87,98,98
Ryan Gravenberch,CM,96,92,96,98,90,92
Zinedine Zidane,CAM,86,93,98,98,76,88
Ronaldo,ST,98,97,83,97,46,79
Georginio Wijnaldum,CM,94,91,94,99,94,94
Paul Pogba,CM,94,92,96,98,92,94
Wissam Ben Yedder,LW,99,97,92,99,55,84
Diego Maradona,CAM,92,93,92,97,40,76
Rafael Leão,LW,99,95,90,98,47,90
Lionel Messi,RW,92,96,97,99,38,74
Karim Benzema,CF,95,98,90,98,47,87
Luka Modrić,CM,90,90,98,97,86,86
Robert Lewandowski,ST,92,97,86,94,49,94
Joshua Kimmich,CDM,88,84,97,93,95,93
Cristiano Ronaldo,ST,94,99,88,95,39,91
Mohamed Salah,RW,98,97,94,98,52,86
Cristiano Ronaldo,ST,93,98,88,95,39,92
Rúben Dias,CB,87,50,84,81,97,96
Jorginho,CM,88,90,98,93,86,87
Kylian Mbappé,ST,99,95,90,98,44,88
Antoine Griezmann,ST,95,96,94,98,60,81
Kevin-Prince Boateng,CAM,90,96,93,97,87,96
Ferland Mendy,CM,99,91,92,93,93,97
Nicolò Barella,CM,94,91,96,98,91,90
Joe Cole,CAM,97,92,94,98,60,83
Sadio Mané,CAM,99,92,91,96,53,88
Leroy Sané,CF,99,93,92,96,50,84
Sergio Ramos,ST,97,95,90,93,90,91
Timo Werner,RF,99,95,91,96,50,88
Alphonso Davies,ST,99,92,91,96,90,91
Eden Hazard,CAM,98,95,93,99,45,75
Kylian Mbappé,ST,99,93,90,97,44,86
Charles De Ketelaere,ST,96,96,95,98,90,96
Tanguy Ndombele,CAM,93,92,96,99,90,91
Diego Carlos,CB,91,57,82,85,97,98
Kylian Mbappé,ST,99,96,94,98,89,95
Gabriel Jesus,ST,97,94,90,98,52,87
Marco Reus,RW,97,93,95,96,58,83
Jamie Vardy,LW,97,96,88,94,61,87
Alex Telles,LB,97,84,98,92,92,90
Darwin Núñez,ST,98,96,91,95,59,98
Fernandinho,CDM,89,86,92,94,96,93
Giorgio Chiellini,CB,91,54,81,86,98,96
Lorenzo Insigne,LW,97,93,95,98,47,60
Ángel Di María,RW,96,91,96,97,57,83
Lionel Messi,RW,89,95,94,98,38,72
Gelson Martins,RM,99,96,93,99,71,88
Ferran Torres,RW,99,92,96,97,47,81
Kingsley Coman,LM,99,94,96,98,38,82
Ronaldo,ST,97,95,81,95,45,76
Zinedine Zidane,CAM,85,92,96,95,75,86
Dušan Vlahović,ST,97,96,85,95,44,96
Domenico Berardi,RW,98,95,96,99,50,84
Paulo Dybala,CF,95,96,96,99,48,78
Ciro Immobile,ST,96,98,86,92,48,91
Neymar Jr,LW,96,90,91,99,42,70
Vinícius Jr.,LW,99,92,93,99,45,87
Pedri,CM,93,87,95,98,88,81
Christopher Nkunku,CF,94,92,97,98,87,87
Jude Bellingham,CM,90,90,93,96,90,93
Kevin De Bruyne,CM,88,92,98,95,76,88
Sadio Mané,LW,99,93,93,98,53,89
Virgil van Dijk,CB,87,71,80,81,98,94
Luis Suárez,ST,94,97,92,95,55,93
N'Golo Kanté,CDM,90,84,90,91,96,90
Kevin De Bruyne,CM,86,92,98,93,80,88
Jordan Amavi,LB,99,84,90,93,93,95
Alassane Plea,ST,95,97,91,95,50,90
Duván Zapata,ST,95,95,86,93,47,96
Luis Díaz,LM,99,95,91,96,45,87
Mario Gomez,CB,90,91,83,89,95,93
Ousmane Dembélé,ST,99,93,90,97,45,75
Allan Saint-Maximin,ST,99,93,89,98,33,84
Marcus Rashford,LM,99,94,90,92,52,89
Gareth Bale,ST,99,96,94,94,66,94
Presnel Kimpembe,CDM,92,90,93,93,94,95
Matthijs de Ligt,CM,90,87,91,92,94,96
Kyle Walker,CB,99,74,90,91,92,95
James Maddison,RW,94,92,96,97,70,80
Federico Valverde,RWB,98,86,91,92,93,93
Adama Traoré,CF,99,94,91,95,50,93
Stephan El Shaarawy,CAM,97,95,93,96,57,78
Silas,CF,98,94,92,95,67,84
Yannick Carrasco,CAM,97,92,96,98,70,85
Harry Kane,ST,92,97,93,92,54,83
Yannick Carrasco,RW,99,98,92,96,56,85
Youcef Atal,CM,99,90,94,96,91,90
Leonardo Spinazzola,CDM,99,84,90,95,92,90
Pierre-Emerick Aubameyang,LW,99,95,90,93,44,83
Romelu Lukaku,ST,94,96,85,92,46,93
Ronaldinho,LW,94,93,92,98,39,82
Paolo Maldini,CB,87,65,77,70,98,85
Johan Cruyff,CF,92,94,92,98,43,75
Ferenc Puskás,ST,93,98,93,96,47,78
Garrincha,RW,92,89,96,97,42,73
Trent Alexander-Arnold,CM,94,88,96,93,93,90
Alexandre Lacazette,ST,94,96,88,95,57,93
Antony,RW,99,91,95,98,52,81
Toni Kroos,CM,88,90,98,94,88,87
Maxence Lacroix,CB,96,49,77,81,94,93
Jonathan David,ST,97,95,89,93,40,91
Djibril Sow,CM,94,90,95,94,91,95
Federico Chiesa,RW,99,94,90,96,57,86
Rodrigo Javier De Paul,CM,93,91,94,96,89,91
Diego Maradona,CAM,88,91,90,95,42,75
Pelé,CF,96,93,90,95,56,75
Carles Gil,CAM,88,88,98,96,60,84
Oscar,CAM,93,93,96,94,70,85
Kalidou Koulibaly,CB,91,36,75,83,97,96
Jack Grealish,CAM,95,93,95,94,90,94
Theo Hernández,LB,99,85,90,93,92,94
Marquinhos,CB,91,61,85,87,97,91
Wissam Ben Yedder,ST,96,96,91,98,50,82
Éder Militão,CB,90,60,82,86,96,95
João Félix,CF,95,91,91,98,52,82
Erling Haaland,ST,96,98,87,90,50,95
Florian Wirtz,CAM,93,91,95,97,66,82
Rúben Dias,CB,85,48,83,80,96,94
Heung Min Son,LW,95,95,91,94,50,79
João Cancelo,LB,96,86,92,94,92,91
Ryan Gravenberch,CM,94,90,93,95,88,90
Lionel Messi,RW,88,94,94,97,36,70
Marquinhos,CB,90,61,85,86,97,90
Thorgan Hazard,LM,95,92,93,96,70,83
Julian Brandt,CAM,94,94,93,96,58,81
Jordan Veretout,CDM,90,88,94,94,90,92
Tammy Abraham,ST,96,94,87,94,40,92
Alexandre Pato,ST,96,93,88,95,45,89
Rafinha,CM,90,92,96,97,89,88
Matheus Cunha,CAM,98,94,91,96,46,86
Renan Lodi,LB,97,82,91,94,91,92
Kai Havertz,CAM,94,93,92,95,53,84
Reece James,RWB,97,74,92,92,91,93
Mason Mount,CM,93,91,96,97,87,81
Clint Dempsey,LW,94,94,93,96,82,90
Freddie Ljungberg,CAM,95,92,93,95,53,86
Abedi Pelé,CAM,96,90,93,96,60,72
Julián Álvarez,ST,99,95,93,94,65,83
Marcelo,LB,93,86,93,96,91,89
Coutinho,CAM,93,93,92,97,62,76
Riyad Mahrez,RW,93,90,91,96,45,75
David Silva,LW,94,91,95,96,60,72
Chris Wood,CB,93,70,90,84,94,96
Giovanni Reyna,LW,96,89,91,99,53,88
Hirving Lozano,ST,99,94,89,96,52,80
Kieran Tierney,CB,93,67,87,85,94,91
Raphaël Guerreiro,CM,94,90,94,95,87,86
Jesús Corona,CM,95,92,93,94,88,88
Raphaël Guerreiro,RB,98,85,90,91,93,91
Andrew Robertson,CDM,94,82,94,90,93,91
Felipe Anderson,RW,99,93,94,97,75,83
Pierre Kalulu,CB,92,60,83,84,94,90
Joshua Kimmich,CDM,78,80,91,89,89,86
Mohamed Salah,RW,95,93,90,95,51,84
Ángel Correa,ST,94,95,89,96,57,82
Karim Benzema,CF,84,92,88,94,44,85
Thierry Henry,ST,96,96,85,93,54,81
Ruud Gullit,CF,88,95,92,90,84,92
Tim Cahill,CDM,94,93,96,95,73,73
Cafú,RWB,94,59,87,91,93,88
Franco Baresi,CB,80,50,79,74,97,85
Carles Puyol,CB,79,49,69,60,96,92
George Best,RW,95,93,86,98,59,73
Eric Cantona,CF,91,96,91,95,54,93
Eusébio,CF,95,98,87,95,46,80
Marco van Basten,ST,86,97,78,91,40,78
Carlos Alberto,RB,92,79,83,88,92,89
Roberto Baggio,CAM,87,87,93,94,41,64
David Beckham,RM,86,89,97,90,73,83
Lothar Matthäus,CM,91,92,91,86,91,86
Kylian Mbappé,ST,99,91,86,95,39,84
Mohamed Salah,RW,95,93,90,95,51,84
Rodrygo,RW,99,92,91,95,58,79
Ricardo Pereira,LB,94,83,92,93,94,90
Richarlison,CAM,97,92,88,96,65,90
Dele Alli,CAM,88,92,92,95,82,90
Cristiano Ronaldo,ST,91,96,87,92,37,80
Cristiano Ronaldo,ST,90,95,86,92,37,81
Casemiro,CDM,90,91,93,90,95,96
Johan Cruyff,CF,91,92,91,94,42,73
Ronaldinho,LW,92,90,91,95,37,81
Ferenc Puskás,CF,91,96,91,92,46,76
Paolo Maldini,CB,86,56,75,69,96,83
Zinedine Zidane,CAM,82,90,93,92,72,83
Ronaldo,ST,93,93,80,93,46,80
Hany Mukhtar,LF,96,95,92,94,66,85
James Tavernier,RB,99,88,93,91,92,95
Sergej Milinković-Savić,CM,85,88,93,97,88,95
Marcelo Brozović,CDM,91,83,95,90,95,94
Deniz Undav,ST,95,95,86,94,56,98
Marek Hamšík,CM,85,90,95,94,86,87
Lucas Paquetá,CAM,91,92,94,96,86,92
Aurélien Tchouaméni,CDM,88,87,91,92,92,97
Darwin Núñez,ST,98,93,88,93,56,98
David Alaba,CB,88,83,91,91,96,88
Éver Banega,CM,87,87,96,94,90,87
Thomas Müller,CAM,91,94,91,93,68,85
Aleksandar Mitrović,ST,94,94,82,91,40,98
Bernardo Silva,CM,88,90,94,98,65,79
Aymeric Laporte,CB,90,57,81,82,94,93
João Cancelo,LB,95,85,91,93,90,87
Kevin De Bruyne,CAM,82,90,96,91,68,82
Kylian Mbappé,ST,99,91,86,95,39,84
Robert Lewandowski,ST,82,94,82,89,46,84
Lionel Messi,RW,86,93,92,96,35,68
Fernando Morientes,CAM,90,94,93,91,49,90
Mario Gomez,ST,91,95,82,88,48,91
Garrincha,RW,90,87,94,92,48,86
Antonio Di Natale,ST,94,95,91,95,52,77
Junior Sornoza,LF,95,93,94,94,61,77
Jordan Henderson,CDM,87,83,94,90,87,92
Alexandre Lacazette,ST,92,94,85,93,55,89
Marco Reus,CF,92,91,92,93,55,79
Houssem Aouar,CAM,93,91,92,95,81,85
Gabriel Martinelli,LM,99,91,89,93,57,89
Anthony Martial,ST,98,93,89,97,44,85
Lucas Moura,RM,99,93,88,98,55,83
Christian Eriksen,CM,88,91,96,93,63,79
Jamie Vardy,ST,94,93,84,88,58,82
Thiago,CM,87,84,94,96,86,85
Neymar Jr,ST,93,87,88,96,39,66
Kevin De Bruyne,CAM,80,88,95,91,67,82
Gerson,LW,96,91,89,95,83,85
Amadou Haidara,RB,95,82,91,95,91,88
Thomas Delaine,CDM,97,80,90,92,92,91
Alexis Claude-Maurice,LB,95,89,91,96,90,89
Lucas Martínez Quarta,RB,96,82,89,91,91,92
Bartra,LW,96,93,91,95,86,82
Felipe,CDM,84,79,94,94,95,94
Kevin Volland,CB,90,79,84,86,92,95
Emre Can,CB,90,75,84,87,93,94
Emerson,CM,92,83,86,89,90,93
Diego Milito,ST,93,94,84,92,48,86
Antonio Di Natale,ST,94,95,91,95,56,91
Jeremiah St. Juste,RW,99,93,90,91,84,93
Nicolas Pépé,ST,95,91,89,93,48,82
Virgil van Dijk,CB,83,64,78,78,95,90
Wayne Rooney,ST,90,95,85,91,57,90
Gary Lineker,ST,90,93,75,90,38,78
Javier Zanetti,RB,89,73,89,87,91,84
Ruud van Nistelrooy,ST,88,94,76,88,39,83
Hristo Stoichkov,ST,93,95,89,94,52,88
Rivaldo,CAM,89,95,90,95,46,80
Juan Román Riquelme,CAM,80,88,95,95,34,72
Dennis Bergkamp,CF,86,92,90,92,38,79
Samuel Eto'o,ST,96,95,83,93,49,84
Emilio Butragueño,ST,95,93,83,94,43,71
Alessandro Nesta,CB,81,44,68,70,96,88
Bobby Moore,CB,78,65,88,79,96,86
Bastian Schweinsteiger,RM,87,88,92,88,87,88
Alessandro Del Piero,CF,87,95,91,95,46,70
Fabio Cannavaro,CB,84,44,65,71,97,89
Raúl,CF,90,94,84,92,48,76
Kenny Dalglish,ST,92,95,79,92,42,75
Ryan Giggs,LM,92,81,94,92,46,69
Clarence Seedorf,LM,86,88,92,91,71,85
Hugo Sánchez,ST,93,95,83,93,46,78
Andrea Pirlo,CM,82,83,96,93,73,69
Luís Figo,RM,93,91,91,95,42,82
Pedri,CM,90,84,93,95,85,78
Jude Bellingham,CM,88,85,88,93,88,91
Robert Lewandowski,ST,80,94,80,88,45,83
Cristian Romero,CB,90,63,81,85,93,94
Franck Yannick Kessié,CDM,89,86,90,92,93,94
Marco Verratti,CM,87,84,94,95,90,87
Isco,CAM,92,89,94,96,65,82
Axel Witsel,CDM,84,86,92,91,93,92
Joe Gomez,CB,91,40,83,83,93,90
Harry Kane,ST,88,94,87,88,51,86
Karim Benzema,CF,81,91,87,92,43,84
N'Golo Kanté,CM,81,70,81,86,90,87
Harry Kane,ST,76,94,87,88,50,86
Paulo Dybala,CF,92,93,93,96,45,71
Dani Alves,RB,92,82,90,93,88,83
Luis Suárez,ST,90,94,89,91,51,90
Mark Noble,CM,88,85,96,93,93,90
Marcel Schmelzer,LB,95,71,87,91,93,92
Juan Mata,CAM,87,87,96,94,50,82
Cristiano Ronaldo,ST,90,95,85,91,36,78
Maxwel Cornet,LB,96,85,90,92,90,93
Tiago Djaló,CB,92,61,82,85,90,93
Ronald Koeman,CB,82,93,88,94,56,89
Kevin Mbabu,RB,99,65,86,90,90,93
Lothar Matthäus,CM,89,89,90,82,90,85
George Best,RW,93,91,84,94,58,71
Ruud Gullit,CF,86,91,91,89,82,90
Franco Baresi,CB,70,49,76,72,95,82
Carlos Alberto,RB,90,66,81,86,90,87
Thierry Henry,ST,94,91,83,90,53,80
Eric Cantona,CF,89,93,90,93,53,92
Roberto Baggio,CAM,86,84,92,92,40,61
Cafú,RWB,92,58,85,88,91,86
Marco van Basten,ST,83,94,76,89,39,75
Xavi,CM,81,80,95,93,72,72
Eusébio,CF,94,94,86,93,45,79
Gianluca Caprari,LF,96,92,93,94,40,74
Valentin Castellanos,ST,95,95,86,93,50,95
Craig Goodwin,LM,99,92,90,93,76,93
Juan Cuadrado,RB,99,86,88,97,90,87
Hakan Çalhanoğlu,CM,85,87,96,97,76,76
Benjamin Bourigeaud,RM,92,92,95,93,85,90
Hans Vanaken,CM,88,93,94,92,85,90
Edin Višća,RW,98,92,92,93,58,78
Dimitri Payet,CF,93,92,96,95,51,84
Nuno Mendes,LB,99,73,88,90,92,87
Iago Aspas,ST,92,95,89,93,45,82
Arnaut Danjuma,LW,96,90,91,95,60,85
Canales,RM,94,91,96,94,85,86
Nabil Fekir,CAM,93,92,92,96,47,91
Jules Koundé,CB,91,55,75,87,95,90
Anderson Talisca,CF,92,94,92,95,63,86
Anthony Modeste,ST,92,94,84,90,51,92
Alphonso Davies,LB,99,85,87,93,89,88
Harry Wilson,RM,95,94,92,90,60,78
Bruno Fernandes,CM,84,93,95,93,77,84
Achraf Hakimi,RB,99,80,88,91,90,90
Cristiano Ronaldo,ST,90,95,85,91,36,78
Neymar Jr,LW,93,87,88,96,39,67
Kevin De Bruyne,CM,80,88,95,90,67,81
Kylian Mbappé,ST,99,90,84,94,38,81
Robert Lewandowski,ST,80,93,81,87,45,83
Lionel Messi,RW,85,92,91,95,34,65
Jürgen Kohler,CDM,88,84,90,92,92,92
Robbie Keane,ST,92,93,81,93,50,81
Joe Cole,RW,94,89,91,95,55,78
Iván Córdoba,CB,91,68,72,77,95,92
Freddie Ljungberg,LM,95,89,88,92,50,83
Darío Benedetto,ST,95,93,85,93,55,90
Sebastián Rodríguez,CM,90,92,92,88,90,87
Sergio Busquets,CDM,84,79,95,92,93,88
Mehdi Taremi,ST,93,94,75,81,93,90
Fernandinho,CDM,84,80,86,90,93,89
Wissam Ben Yedder,ST,93,93,87,95,46,79
Lorenzo Insigne,LW,95,88,92,96,40,51
Joaquín,RM,91,90,94,92,55,78
Fabio Quagliarella,ST,90,95,87,92,42,81
Ivan Perišić,LM,95,92,88,93,73,87
Gelson Martins,RM,99,92,89,97,64,82
Sandro Tonali,CDM,91,84,93,91,87,90
John Stones,CB,87,57,79,83,92,87
Chris Smalling,CB,88,56,80,82,93,93
Memphis Depay,CF,93,90,90,91,37,86
Daniel James,RB,98,84,89,92,90,87
Presnel Kimpembe,CAM,93,91,94,95,86,89
Pepe,ST,92,94,90,92,91,93
Cucurella,LWB,92,80,90,91,90,92
Thiago Mendes,RB,96,83,91,92,89,90
Marko Arnautović,CB,89,70,80,85,93,94
Nordi Mukiele,CB,93,60,82,86,92,91
Héctor Bellerín,LB,97,65,91,92,88,86
Gonzalo Higuaín,ST,93,95,85,91,40,90
Sócrates,CAM,86,95,92,95,46,86
Robin van Persie,ST,88,95,88,92,50,77
Kaká,CAM,93,90,90,94,45,75
Michael Owen,ST,93,92,71,91,35,68
Michael Ballack,CM,83,92,90,87,83,89
Roberto Carlos,LB,93,89,85,84,88,87
Alan Shearer,ST,85,95,79,82,54,88
Fernando Torres,ST,94,93,80,91,47,80
Patrick Kluivert,ST,87,93,81,88,42,84
